Source,input_dim,model,total_parameters,cv_val_f1,cv_test_f1,cv_test_auprc,cv_test_auc
config_0.987,6,neural_network_weighted_cross_entropy,94,0.6909±0.0534,0.6669±0.0495,0.8610±0.0240,0.6792±0.0739
config_0.987,6,neural_network_focal_loss,94,0.7094±0.0201,0.6745±0.0279,0.8713±0.0121,0.7094±0.0291
config_0.987,6,neural_network_combined_focal_dice,94,0.7352±0.0050,0.7088±0.0136,0.8826±0.0097,0.7335±0.0180
config_0.988,7,neural_network_weighted_cross_entropy,110,0.7004±0.0469,0.6679±0.0289,0.8578±0.0419,0.6906±0.0596
config_0.988,7,neural_network_focal_loss,110,0.7090±0.0110,0.6866±0.0138,0.8739±0.0115,0.7096±0.0197
config_0.988,7,neural_network_combined_focal_dice,110,0.7464±0.0141,0.7183±0.0064,0.8937±0.0058,0.7460±0.0080
config_0.989,9,neural_network_focal_loss,142,0.7149±0.0078,0.6767±0.0175,0.8841±0.0102,0.7333±0.0169
config_0.989,9,neural_network_weighted_cross_entropy,142,0.7079±0.0147,0.6870±0.0218,0.8822±0.0123,0.7272±0.0238
config_0.989,9,neural_network_combined_focal_dice,142,0.7328±0.0167,0.7097±0.0210,0.8819±0.0139,0.7255±0.0281
config_0.990,11,neural_network_weighted_cross_entropy,174,0.8293±0.0274,0.8295±0.0084,0.9622±0.0045,0.8985±0.0072
config_0.990,11,neural_network_focal_loss,174,0.8322±0.0397,0.8366±0.0036,0.9651±0.0017,0.9063±0.0028
config_0.990,11,neural_network_combined_focal_dice,174,0.8600±0.0209,0.8430±0.0095,0.9641±0.0014,0.9046±0.0058
config_0.991,14,neural_network_focal_loss,222,0.7727±0.0736,0.7726±0.0741,0.9303±0.0423,0.8304±0.0892
config_0.991,14,neural_network_weighted_cross_entropy,222,0.8188±0.0320,0.8271±0.0083,0.9570±0.0070,0.8899±0.0130
config_0.991,14,neural_network_combined_focal_dice,222,0.8373±0.0274,0.8311±0.0149,0.9643±0.0020,0.9036±0.0049
config_0.992,18,neural_network_focal_loss,286,0.8125±0.0503,0.8057±0.0520,0.9445±0.0374,0.8633±0.0729
config_0.992,18,neural_network_weighted_cross_entropy,286,0.8322±0.0284,0.8254±0.0068,0.9624±0.0023,0.8989±0.0043
config_0.992,18,neural_network_combined_focal_dice,286,0.8436±0.0211,0.8289±0.0114,0.9608±0.0024,0.8961±0.0057
config_0.993,20,neural_network_focal_loss,318,0.8300±0.0276,0.8147±0.0106,0.9619±0.0024,0.8976±0.0059
config_0.993,20,neural_network_weighted_cross_entropy,318,0.8382±0.0209,0.8309±0.0136,0.9628±0.0036,0.8996±0.0100
config_0.993,20,neural_network_combined_focal_dice,318,0.8410±0.0210,0.8387±0.0144,0.9634±0.0015,0.9022±0.0032
config_0.994,26,neural_network_combined_focal_dice,414,0.8201±0.0601,0.8172±0.0447,0.9476±0.0311,0.8678±0.0650
config_0.994,26,neural_network_focal_loss,414,0.8323±0.0331,0.8270±0.0077,0.9623±0.0068,0.8995±0.0134
config_0.994,26,neural_network_weighted_cross_entropy,414,0.8492±0.0250,0.8360±0.0207,0.9607±0.0089,0.8980±0.0168
config_0.995,37,neural_network_weighted_cross_entropy,590,0.8106±0.0561,0.7894±0.0787,0.9402±0.0420,0.8519±0.0868
config_0.995,37,neural_network_focal_loss,590,0.7958±0.0696,0.8011±0.0682,0.9434±0.0339,0.8613±0.0726
config_0.995,37,neural_network_combined_focal_dice,590,0.8430±0.0233,0.8330±0.0135,0.9604±0.0082,0.8925±0.0195